Latitude,Longitude,District,Community Area,hour,day_of_week,month,is_weekend,primary_type_encoded,Arrest,Domestic
41.953232321,-87.654507591,19.0,6.0,13,6,9,1,3,0,0
41.904444921,-87.725933966,25.0,23.0,5,4,12,0,3,0,0
41.884509023,-87.730816089,11.0,,2,3,9,0,7,1,0
41.953201167,-87.765531798,16.0,15.0,0,0,4,0,10,0,1
41.879661402,-87.70497354,11.0,27.0,15,0,1,0,4,0,0
41.937307712,-87.789562769,25.0,19.0,16,3,11,0,5,0,0
41.935409279,-87.74675098,25.0,19.0,22,4,7,0,19,1,0
41.753785441,-87.621445098,6.0,69.0,15,4,1,0,3,0,0
41.903827966,-87.636164343,18.0,8.0,19,1,2,0,14,0,0
41.883167009,-87.675300318,12.0,28.0,22,3,4,0,7,1,0
41.701891928,-87.531656137,4.0,52.0,21,5,10,1,5,1,1
41.902674603,-87.66747411,12.0,24.0,19,6,3,1,2,0,0
41.857888856,-87.660468787,12.0,31.0,0,0,8,0,0,0,0
41.750299894,-87.667632935,6.0,71.0,20,3,6,0,12,0,0
41.88946287,-87.624222942,18.0,8.0,13,0,5,0,3,0,0
41.903738359,-87.679717671,14.0,24.0,3,4,5,0,6,0,0
41.713410777,-87.653564811,22.0,73.0,8,0,5,0,5,0,0
42.009294803,-87.674031424,24.0,1.0,12,5,11,1,6,0,0
41.901794019,-87.627998616,18.0,8.0,4,1,9,0,3,1,0
41.856581054,-87.719985296,10.0,29.0,18,1,7,0,6,0,0
41.750796602,-87.633458052,6.0,44.0,7,2,3,0,3,0,0
41.691641803,-87.64235966,22.0,49.0,19,0,5,0,12,0,0
41.741125675,-87.613032804,6.0,44.0,9,2,5,0,2,0,0
41.812128959,-87.749395758,8.0,56.0,21,3,8,0,3,0,0
41.750985415,-87.55894501,4.0,46.0,17,5,4,1,0,0,0
41.833404201,-87.618171059,2.0,35.0,11,0,9,0,6,0,0
41.738693288,-87.653415499,6.0,71.0,0,5,5,1,0,0,0
41.896943556,-87.624206307,18.0,8.0,1,4,9,0,13,1,0
41.79329893,-87.66456619,7.0,67.0,23,4,9,0,3,0,0
41.736593436,-87.555567615,4.0,46.0,6,3,3,0,4,0,0
41.894113031,-87.77011768,15.0,25.0,18,5,7,1,0,0,0
41.856547176,-87.646603777,12.0,31.0,21,3,7,0,7,1,0
41.849927317,-87.706967671,10.0,30.0,9,3,6,0,12,0,0
41.903382607,-87.664168019,14.0,24.0,1,3,8,0,0,0,0
42.003576258,-87.66885499,24.0,1.0,20,0,3,0,7,1,0
41.761396234,-87.557976827,3.0,43.0,23,0,4,0,22,0,0
41.76916109,-87.685810743,8.0,66.0,17,1,9,0,12,0,0
41.881802063,-87.746496082,15.0,25.0,1,6,5,1,12,0,0
41.736148121,-87.629070243,6.0,44.0,17,2,9,0,4,0,0
41.806608398,-87.62114304,2.0,38.0,10,2,3,0,2,0,0
41.722524609,-87.537711224,4.0,52.0,0,3,11,0,21,1,0
41.857709342,-87.672085108,12.0,31.0,17,5,8,1,3,0,0
41.903836143,-87.642511973,18.0,,4,1,9,0,13,1,0
41.798450614,-87.616883811,2.0,40.0,18,5,11,1,7,1,0
41.798928895,-87.675748399,9.0,61.0,16,1,5,0,12,0,0
41.797332174,-87.624157636,2.0,40.0,3,2,8,0,0,0,0
41.703766709,-87.534079082,4.0,52.0,0,5,1,1,10,0,1
41.891023035,-87.619141016,18.0,8.0,18,3,9,0,2,0,0
41.766457683,-87.649299205,7.0,68.0,14,5,7,1,5,0,0
41.949649326,-87.64407246,19.0,6.0,17,1,8,0,4,0,0
41.950881255,-87.762001219,16.0,15.0,18,4,11,0,5,0,1
41.779295906,-87.644774188,7.0,68.0,8,6,12,1,19,1,0
41.756734991,-87.565117456,4.0,43.0,1,1,8,0,0,0,0
41.754592961,-87.741528537,8.0,65.0,13,4,4,0,3,1,0
41.897996206,-87.629373749,18.0,8.0,12,2,9,0,20,1,0
41.707312475,-87.668505073,22.0,72.0,6,4,9,0,4,0,0
41.745840943,-87.600964456,6.0,44.0,6,6,5,1,14,0,0
41.9680408,-87.760895536,16.0,11.0,20,0,1,0,10,0,0
41.726382681,-87.639705286,22.0,73.0,0,1,6,0,3,0,0
41.785187197,-87.608524835,3.0,42.0,8,4,3,0,14,0,0
41.936221918,-87.706315089,14.0,21.0,9,4,6,0,3,0,0
41.970278623,-87.65485248,20.0,3.0,19,3,6,0,7,1,0
41.798079698,-87.746992802,8.0,56.0,15,5,8,1,3,0,0
41.747214793,-87.578331547,4.0,46.0,23,4,8,0,14,0,1
41.739798786,-87.578194913,4.0,45.0,10,6,4,1,10,0,0
41.893866496,-87.756934184,15.0,,6,3,1,0,0,0,0
41.892260005,-87.74695863,15.0,25.0,11,4,8,0,14,0,1
41.882183441,-87.652046963,12.0,28.0,15,6,4,1,2,0,0
41.857533855,-87.625603607,1.0,33.0,11,4,6,0,3,0,0
41.739665062,-87.646542433,6.0,71.0,18,5,9,1,5,0,1
41.671965859,-87.63570353,5.0,53.0,1,1,6,0,3,1,0
41.892527477,-87.719887592,11.0,23.0,22,2,5,0,5,0,1
42.004517251,-87.661736912,24.0,1.0,0,3,9,0,5,0,0
41.910652354,-87.666101686,14.0,24.0,14,4,4,0,14,0,0
41.866202226,-87.723039647,11.0,29.0,12,2,6,0,7,1,0
42.006036283,-87.661054978,24.0,1.0,17,2,10,0,12,1,0
41.743128365,-87.603794784,6.0,44.0,11,6,5,1,5,0,1
41.904328706,-87.626945819,18.0,8.0,23,5,8,1,5,0,0
41.910250275,-87.69382484,14.0,24.0,20,5,6,1,5,1,0
41.779876483,-87.70438677,8.0,66.0,23,4,8,0,14,0,0
41.839491676,-87.654463313,9.0,60.0,15,1,3,0,14,0,0
41.962945032,-87.652352824,19.0,3.0,17,3,5,0,7,1,0
41.910483664,-87.732463909,25.0,23.0,18,1,6,0,4,0,0
41.918711651,-87.76551063,25.0,19.0,9,1,6,0,18,1,0
41.927144543,-87.726846849,25.0,22.0,10,1,3,0,10,1,0
41.888165132,-87.622937212,1.0,32.0,15,2,11,0,3,0,0
41.76559446,-87.621050648,3.0,69.0,22,3,9,0,13,1,0
41.768944958,-87.722514374,8.0,65.0,19,1,6,0,10,0,1
41.880929981,-87.70963942,11.0,27.0,19,6,1,1,14,0,1
41.771431667,-87.682111024,8.0,66.0,2,0,5,0,6,0,0
41.877514327,-87.689421855,11.0,28.0,17,4,2,0,12,0,0
41.806710155,-87.618086559,2.0,38.0,8,0,5,0,19,1,0
41.72587315,-87.593223623,4.0,47.0,12,3,6,0,10,0,0
41.768011476,-87.645708653,7.0,68.0,15,0,7,0,3,0,1
41.866426983,-87.676239315,12.0,28.0,13,6,3,1,5,0,1
41.924002346,-87.764365012,25.0,19.0,2,3,12,0,7,1,0
41.739762868,-87.579411807,4.0,45.0,12,3,6,0,10,0,0
41.909264459,-87.774708983,25.0,25.0,11,4,4,0,14,0,0
41.7978991,-87.60511397,2.0,41.0,22,5,7,1,7,1,0
41.851602787,-87.720465972,10.0,29.0,20,4,1,0,5,0,1
41.688265631,-87.642253004,22.0,49.0,16,1,9,0,7,1,0
41.803201891,-87.72198373,8.0,57.0,11,3,9,0,15,1,0
41.869023864,-87.730939494,11.0,26.0,8,2,10,0,12,0,0
41.882893144,-87.696822525,12.0,27.0,20,3,11,0,5,1,1
41.94185965,-87.645178187,19.0,6.0,17,1,2,0,12,0,0
41.70395115,-87.538910687,4.0,52.0,2,4,6,0,2,0,0
41.931593419,-87.711545912,14.0,22.0,13,1,7,0,3,0,0
41.971905396,-87.657552783,20.0,,14,4,6,0,0,0,0
41.79604543,-87.602751221,2.0,41.0,0,2,1,0,3,0,0
41.990615196,-87.683188577,24.0,2.0,21,0,7,0,3,1,0
41.875255287,-87.726621673,11.0,26.0,21,6,10,1,7,1,0
41.785446394,-87.697226298,8.0,66.0,20,5,7,1,0,0,0
41.768747096,-87.64435914,7.0,,0,5,6,1,6,0,0
41.775354735,-87.660459626,7.0,67.0,21,2,11,0,12,0,0
41.973181541,-87.713495135,17.0,13.0,3,0,7,0,3,0,0
41.839035219,-87.645088282,9.0,60.0,17,1,9,0,5,1,0
41.959045954,-87.72526498,17.0,,18,2,1,0,10,0,1
41.903304304,-87.670064675,14.0,24.0,14,1,10,0,3,1,0
41.974754092,-87.781834126,16.0,11.0,12,3,11,0,10,0,1
41.904719911,-87.755830031,25.0,25.0,3,3,7,0,7,1,0
41.703059179,-87.616090789,5.0,49.0,6,6,8,1,3,0,0
41.884790951,-87.624469241,1.0,32.0,0,1,10,0,2,0,0
41.857922021,-87.658170505,12.0,31.0,21,0,8,0,3,0,0
41.893051424,-87.625409975,18.0,8.0,8,4,3,0,2,1,0
41.938556557,-87.768017693,16.0,15.0,12,2,4,0,3,0,0
41.963846584,-87.670893161,19.0,3.0,18,6,2,1,5,0,0
41.786331346,-87.69252046,8.0,,2,2,10,0,0,1,0
41.770596821,-87.616999552,3.0,69.0,8,4,11,0,10,0,1
41.876552738,-87.765134908,15.0,25.0,17,4,7,0,0,0,0
41.754626777,-87.674621224,6.0,,16,5,7,1,10,0,0
41.800824903,-87.664763008,9.0,61.0,18,4,8,0,5,0,1
41.884778017,-87.742980103,11.0,25.0,14,3,1,0,7,1,0
41.905844192,-87.726398267,25.0,23.0,16,5,10,1,3,1,0
41.678072051,-87.619618897,5.0,53.0,14,6,6,1,15,1,0
41.975606477,-87.651839165,20.0,3.0,13,2,9,0,2,0,0
41.844026941,-87.622100808,1.0,35.0,20,0,8,0,9,0,1
41.826710938,-87.677970124,9.0,59.0,21,4,2,0,0,0,0
41.81300114,-87.751460404,8.0,56.0,20,0,4,0,0,0,0
41.901931351,-87.710592186,11.0,23.0,16,0,11,0,3,1,1
41.707112183,-87.627556114,5.0,49.0,23,4,9,0,0,0,1
41.883500187,-87.627876698,1.0,32.0,12,5,6,1,3,1,0
41.782234237,-87.586654455,3.0,,15,0,1,0,14,1,0
41.781374962,-87.617209584,3.0,40.0,20,2,1,0,5,0,0
41.699752593,-87.633052407,22.0,49.0,13,1,3,0,10,1,0
41.893179495,-87.634671454,18.0,8.0,22,5,1,1,12,1,0
41.74332801,-87.616328029,6.0,44.0,0,4,8,0,7,1,0
41.908339553,-87.674281405,14.0,24.0,20,3,5,0,3,0,0
41.827905442,-87.675220788,9.0,59.0,3,6,8,1,12,0,0
41.999923544,-87.703376017,24.0,2.0,23,0,6,0,14,0,1
41.926886793,-87.755078938,25.0,19.0,21,1,11,0,27,1,0
41.770952774,-87.585014697,3.0,43.0,7,6,10,1,5,0,0
41.709121219,-87.607757513,5.0,,12,3,6,0,12,0,0
41.966660044,-87.70418185,17.0,14.0,11,0,12,0,12,0,0
41.762316752,-87.634740377,7.0,,23,2,9,0,5,0,0
41.741322801,-87.602529099,6.0,44.0,14,0,7,0,4,0,0
41.719011315,-87.626176882,5.0,,0,1,3,0,12,0,0
41.744973442,-87.596624704,4.0,45.0,0,5,1,1,5,0,1
41.920394271,-87.66845103,14.0,22.0,15,4,12,0,5,0,0
41.736255058,-87.628160433,6.0,44.0,0,0,4,0,2,0,0
41.947857457,-87.664033932,19.0,6.0,9,3,7,0,3,0,0
41.979249906,-87.839897098,16.0,76.0,17,1,10,0,14,0,0
41.812553463,-87.709052328,8.0,58.0,17,2,3,0,2,0,0
41.885794259,-87.62964727,1.0,,4,5,8,1,3,0,0
41.925057535,-87.67526322,14.0,22.0,17,5,4,1,3,0,0
41.755368956,-87.634416245,6.0,69.0,22,2,6,0,14,0,0
41.877565688,-87.684893829,12.0,28.0,17,2,5,0,14,0,0
41.779276522,-87.615601416,3.0,69.0,15,4,6,0,3,1,0
41.753119917,-87.651529798,6.0,,17,1,7,0,3,0,0
41.909664252,-87.742728815,25.0,25.0,21,0,11,0,3,1,0
41.727512525,-87.665981591,22.0,73.0,15,5,12,1,14,0,1
41.924902436,-87.766025313,25.0,19.0,21,1,9,0,14,0,1
41.93081288,-87.801440434,25.0,18.0,8,3,5,0,5,1,1
41.909730421,-87.755737112,25.0,25.0,13,1,8,0,5,0,0
41.750782433,-87.591823489,4.0,45.0,0,6,6,1,12,0,0
41.783776633,-87.683764415,8.0,66.0,6,4,5,0,3,0,0
41.983553381,-87.713773382,17.0,13.0,22,5,5,1,3,0,0
42.021993365,-87.674246195,24.0,1.0,5,1,4,0,5,0,1
41.790837391,-87.705929783,8.0,63.0,23,0,10,0,3,1,1
41.932736824,-87.72210443,25.0,21.0,5,2,12,0,12,0,0
41.792763782,-87.76054721,8.0,56.0,19,4,7,0,0,0,0
41.789675,-87.683921221,8.0,63.0,9,4,9,0,4,0,0
41.847565598,-87.645749253,9.0,60.0,21,3,3,0,4,0,0
41.97777366,-87.684874879,20.0,4.0,6,5,10,1,3,0,0
42.022547568,-87.676139494,24.0,1.0,19,0,7,0,3,0,0
41.733263704,-87.656909327,22.0,71.0,22,5,4,1,4,1,0
41.774164116,-87.653535923,7.0,68.0,15,3,12,0,14,0,0
41.825642379,-87.617564012,2.0,35.0,23,1,7,0,4,0,0
42.011999898,-87.785596933,16.0,12.0,3,2,2,0,5,0,0
41.755818154,-87.613825106,6.0,69.0,15,4,12,0,10,0,0
41.90142825,-87.729955452,11.0,23.0,20,1,7,0,14,0,1
41.811268529,-87.700415285,9.0,58.0,13,6,6,1,4,0,0
41.903996883,-87.643230238,18.0,8.0,11,3,4,0,3,0,0
41.891851173,-87.710484433,11.0,23.0,12,6,11,1,5,0,1
41.792529566,-87.651332338,7.0,,18,1,10,0,5,0,0
41.741058041,-87.644977652,6.0,71.0,23,3,2,0,3,0,0
41.906715214,-87.755878174,25.0,25.0,15,3,6,0,3,0,0
41.76661797,-87.640782292,7.0,68.0,9,1,11,0,5,0,1
41.74583078,-87.601953966,6.0,44.0,21,3,5,0,5,1,0
41.891990384,-87.611461502,18.0,8.0,14,6,8,1,9,1,0
41.956688714,-87.686118092,19.0,5.0,14,3,12,0,14,0,1
41.808252074,-87.695859994,9.0,58.0,8,4,10,0,4,0,0
41.778868505,-87.673896581,7.0,,17,4,1,0,5,1,1
41.767228929,-87.581256707,3.0,43.0,6,3,2,0,5,0,1
41.816850383,-87.694465086,9.0,58.0,2,5,7,1,14,0,1
41.777432881,-87.665284655,7.0,,19,5,2,1,7,1,0
41.753788284,-87.645336408,6.0,71.0,19,6,12,1,5,1,1
41.913161517,-87.673864402,14.0,24.0,19,1,2,0,4,0,0
41.905844192,-87.726398267,25.0,23.0,16,3,7,0,3,1,0
41.816634734,-87.631193597,9.0,37.0,10,2,3,0,0,0,0
41.702967972,-87.617307583,5.0,49.0,21,2,7,0,0,0,0
41.764561602,-87.663779717,7.0,67.0,13,1,8,0,7,1,0
41.974218658,-87.696414144,20.0,4.0,10,1,12,0,13,0,0
41.779978918,-87.601657723,3.0,42.0,23,0,5,0,6,0,0
41.789546404,-87.6705346,7.0,67.0,9,2,2,0,3,0,0
41.913445992,-87.745974841,25.0,25.0,14,4,7,0,21,0,0
41.778941277,-87.761751794,8.0,,4,5,3,1,5,1,1
41.745104759,-87.707144743,8.0,70.0,13,2,12,0,12,0,0
41.732095801,-87.664611575,22.0,73.0,11,3,12,0,2,0,0
41.884650262,-87.627915459,1.0,32.0,11,1,6,0,13,1,0
41.965393249,-87.657992984,19.0,3.0,11,1,5,0,3,1,0
41.655347038,-87.613162363,5.0,54.0,8,0,10,0,0,0,0
41.894896549,-87.759866952,15.0,25.0,17,4,6,0,6,0,0
41.866614455,-87.696363572,11.0,,16,5,1,1,7,1,0
41.712463531,-87.535275209,4.0,52.0,9,4,10,0,15,1,0
41.909664252,-87.742728815,25.0,25.0,15,0,5,0,3,1,0
41.871051409,-87.697263118,11.0,27.0,5,0,3,0,4,0,0
41.807646291,-87.741110208,8.0,56.0,15,4,9,0,14,0,0
41.908842378,-87.727718131,25.0,23.0,1,2,7,0,0,0,1
41.946526695,-87.715470049,17.0,21.0,12,5,9,1,0,0,0
41.919926586,-87.710325389,14.0,22.0,12,5,12,1,2,0,0
41.80125259,-87.672277111,9.0,61.0,9,3,11,0,19,1,0
41.800747903,-87.709115583,8.0,63.0,7,2,12,0,4,0,0
41.898503406,-87.711532759,11.0,23.0,0,6,6,1,0,0,0
41.968462913,-87.707683157,17.0,14.0,12,0,6,0,0,0,0
41.907294285,-87.766904944,25.0,,15,4,4,0,14,0,0
41.973885119,-87.657748827,20.0,3.0,18,3,1,0,6,0,0
41.867267602,-87.686058929,11.0,28.0,1,5,10,1,5,0,1
41.912680251,-87.708522142,14.0,23.0,18,1,8,0,0,0,0
41.858545179,-87.661482405,12.0,,12,2,7,0,5,0,1
41.77654489,-87.630072928,7.0,68.0,0,0,2,0,15,1,0
41.846436383,-87.696446322,10.0,30.0,23,3,1,0,5,0,1
41.941301829,-87.767673666,16.0,15.0,19,6,8,1,4,0,0
41.938524,-87.80676457,16.0,17.0,7,4,12,0,4,0,0
41.777791996,-87.672811401,7.0,,1,6,3,1,12,0,0
41.769535643,-87.666374687,7.0,67.0,3,1,2,0,0,0,0
41.778656405,-87.684846319,8.0,66.0,11,4,4,0,7,1,0
41.867013029,-87.65572153,12.0,28.0,17,2,1,0,7,1,0
41.795213954,-87.584853561,2.0,41.0,12,3,11,0,6,0,0
41.992486727,-87.776634099,16.0,11.0,0,2,2,0,2,0,0
41.920333056,-87.765977603,25.0,19.0,8,2,1,0,10,1,0
41.915795289,-87.67757756,14.0,22.0,17,1,11,0,6,0,0
41.797364657,-87.587259993,2.0,41.0,17,1,7,0,3,0,0
41.754592961,-87.741528537,8.0,65.0,3,5,8,1,5,0,0
41.811882738,-87.707837332,8.0,58.0,23,2,2,0,5,1,1
41.919139591,-87.775556145,25.0,19.0,22,3,12,0,3,0,0
41.688942146,-87.624016674,5.0,49.0,15,3,12,0,7,1,0
41.764275099,-87.581947323,3.0,43.0,0,4,8,0,3,0,0
41.983673036,-87.657174571,20.0,77.0,9,5,4,1,2,0,0
41.882209791,-87.76703474,15.0,25.0,12,0,4,0,10,0,0
41.826263464,-87.670291775,9.0,59.0,19,2,4,0,7,1,0
41.976713511,-87.701946197,20.0,4.0,10,5,2,1,10,0,0
41.874587895,-87.696119177,11.0,27.0,7,5,11,1,7,1,0
41.696579455,-87.535281209,4.0,52.0,10,6,10,1,0,0,0
41.758536614,-87.586130225,4.0,43.0,0,3,8,0,2,0,0
41.830907768,-87.642522466,9.0,,8,6,6,1,7,1,0
41.902829815,-87.638551885,18.0,8.0,17,1,7,0,7,1,0
41.806962667,-87.651025229,9.0,61.0,21,0,5,0,3,0,0
41.893606982,-87.718026137,11.0,23.0,9,0,10,0,3,0,0
41.798093717,-87.587541261,2.0,41.0,19,3,7,0,3,0,0
41.881441785,-87.667837814,12.0,28.0,17,0,8,0,3,0,0
41.773054421,-87.644613656,7.0,68.0,4,0,7,0,3,0,0
41.660033534,-87.642532981,5.0,53.0,20,1,7,0,0,0,0
41.872967379,-87.629152783,1.0,32.0,15,6,10,1,13,0,0
41.75563077,-87.636857948,6.0,69.0,15,2,7,0,7,1,0
41.746884471,-87.600212371,6.0,44.0,17,1,2,0,5,0,1
41.858137283,-87.720029159,10.0,29.0,9,0,3,0,14,0,0
41.952646491,-87.656609271,19.0,6.0,18,2,3,0,14,0,1
41.746952352,-87.736666298,8.0,70.0,12,2,3,0,10,0,0
41.932227729,-87.64476722,19.0,7.0,13,5,10,1,3,0,0
41.877964095,-87.726665819,11.0,26.0,21,2,10,0,5,0,1
41.652751694,-87.543513944,4.0,55.0,17,4,2,0,10,1,0
41.740325519,-87.585722147,4.0,45.0,17,1,3,0,0,0,0
41.780518645,-87.690994449,8.0,66.0,8,3,2,0,0,0,0
41.884666318,-87.769910539,15.0,,13,5,1,1,7,1,0
41.754400648,-87.550635931,4.0,,0,4,3,0,0,0,0
41.813282397,-87.632283004,9.0,37.0,17,3,1,0,5,0,0
41.859746945,-87.630270643,1.0,33.0,14,2,8,0,13,0,0
41.808626868,-87.603877413,2.0,39.0,23,4,9,0,13,0,0
41.737102672,-87.611308083,6.0,44.0,13,3,5,0,6,0,0
41.68139979,-87.614153211,5.0,53.0,17,1,10,0,5,0,0
42.003369825,-87.674460516,24.0,,21,6,10,1,5,1,1
41.704570658,-87.537222169,4.0,52.0,20,0,7,0,21,1,0
41.928799559,-87.726893646,25.0,22.0,7,0,10,0,0,0,0
41.876594484,-87.732887946,11.0,26.0,9,5,4,1,7,1,0
41.91134544,-87.661189837,14.0,24.0,20,2,10,0,3,0,0
41.922545321,-87.735764392,25.0,20.0,20,2,3,0,14,0,0
41.909614875,-87.747016581,25.0,25.0,14,6,5,1,3,1,0
41.815335584,-87.641868115,9.0,61.0,8,3,1,0,3,0,0
41.755612548,-87.646596004,6.0,71.0,18,4,9,0,7,1,0
41.790538144,-87.637756315,7.0,68.0,20,5,9,1,7,1,0
41.865000681,-87.617147205,1.0,33.0,18,3,9,0,10,1,0
42.019262782,-87.671363444,24.0,,17,3,11,0,5,1,0
41.885425215,-87.661972057,12.0,28.0,12,0,1,0,0,0,0
41.896606394,-87.63321264,18.0,8.0,17,4,1,0,7,1,0
41.884790951,-87.624469241,1.0,32.0,9,2,12,0,3,0,0
41.873732481,-87.702226415,11.0,27.0,7,5,6,1,3,0,0
41.933280224,-87.658883132,19.0,,17,1,5,0,3,0,0
41.741870295,-87.563653104,4.0,46.0,17,3,3,0,3,0,0
41.931680781,-87.735223425,25.0,20.0,12,6,3,1,3,0,0
41.752104313,-87.608893476,6.0,69.0,19,1,5,0,14,0,0
41.949439629,-87.647548602,19.0,6.0,20,5,5,1,3,0,0
41.848445928,-87.682383894,10.0,31.0,17,2,4,0,4,0,0
41.93512615,-87.639384889,19.0,6.0,0,6,4,1,5,0,1
41.852198325,-87.674377204,10.0,31.0,17,6,6,1,3,1,0
41.89132763,-87.615178421,18.0,8.0,13,4,8,0,3,0,0
41.810322881,-87.624487551,2.0,38.0,19,4,9,0,12,0,0
41.878113223,-87.634156272,1.0,32.0,12,4,6,0,2,0,0
41.765651252,-87.624909847,3.0,69.0,4,2,7,0,5,0,0
41.665947073,-87.637894906,5.0,53.0,19,5,2,1,6,0,0
41.877391241,-87.700354449,11.0,27.0,9,4,2,0,5,0,0
41.885741029,-87.631711749,1.0,32.0,16,6,5,1,2,0,0
41.875709521,-87.758371492,15.0,25.0,10,1,4,0,4,0,0
41.854013684,-87.619068382,1.0,33.0,8,1,7,0,3,0,0
41.96139421,-87.708256028,17.0,14.0,22,2,3,0,5,0,0
41.766845613,-87.720976396,8.0,65.0,11,2,9,0,3,0,0
41.736930743,-87.657017405,6.0,71.0,8,6,6,1,10,0,1
41.824675709,-87.617013434,2.0,35.0,11,5,4,1,3,1,0
41.917865237,-87.671975174,14.0,22.0,3,4,3,0,2,0,0
41.869858038,-87.736706947,11.0,29.0,14,1,12,0,4,0,0
41.885325435,-87.627930066,1.0,32.0,20,4,11,0,3,0,0
41.847565598,-87.645749253,9.0,60.0,23,0,6,0,6,0,0
41.874316783,-87.728708767,11.0,26.0,22,5,7,1,0,0,0
41.893954949,-87.636738181,18.0,8.0,18,5,7,1,2,0,0
41.773908018,-87.644633853,7.0,68.0,10,3,12,0,3,1,0
41.813400415,-87.632285385,9.0,37.0,18,1,10,0,12,0,0
41.737633247,-87.67353084,6.0,71.0,13,5,4,1,2,0,0
41.740564208,-87.55148917,4.0,46.0,13,6,3,1,0,0,0
41.867293475,-87.711603991,11.0,29.0,11,0,8,0,5,0,1
41.899766378,-87.663812741,12.0,24.0,3,1,1,0,13,1,0
41.770152162,-87.61698617,3.0,69.0,4,6,5,1,22,0,1
41.95896582,-87.682131657,19.0,5.0,12,3,5,0,5,0,0
41.972306541,-87.726929757,17.0,14.0,5,6,1,1,0,0,0
41.780280722,-87.682366139,8.0,66.0,1,6,7,1,5,0,0
41.895003278,-87.62152816,18.0,8.0,8,0,8,0,3,0,0
41.91004016,-87.628848336,18.0,8.0,18,2,6,0,0,0,0
41.885619303,-87.756787976,15.0,25.0,15,1,9,0,5,0,0
41.786910258,-87.652887938,7.0,68.0,20,6,5,1,7,1,0
